code;position1;position2;position34;position8;description;JSON
120899.3;1;2;Degré de conscience;3;Sinus caverneux SAI;{ code : 120899.3, position1 : 1, position2 : 2, position34 : Degré de conscience, position8 : 3, description : Sinus caverneux SAI},
121002.5;1;2;Commotion;5;Artère carotide interne lacération;{ code : 121002.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Artère carotide interne lacération},
121003.6;1;2;Commotion;6;Artère carotide interne lacération bilatérale;{ code : 121003.6, position1 : 1, position2 : 2, position34 : Commotion, position8 : 6, description : Artère carotide interne lacération bilatérale},
121004.4;1;2;Commotion;4;Artère carotide interne thrombose (occlusion);{ code : 121004.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Artère carotide interne thrombose (occlusion)},
121005.5;1;2;Commotion;5;Artère carotide interne thrombose (occlusion) bilatérale;{ code : 121005.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Artère carotide interne thrombose (occlusion) bilatérale},
121006.3;1;2;Commotion;3;Artère carotide interne anévrisme traumatique;{ code : 121006.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère carotide interne anévrisme traumatique},
121099.3;1;2;Commotion;3;Artère carotide interne SAI;{ code : 121099.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère carotide interne SAI},
121202.4;1;2;Commotion;4;Vaisseau intracrânien lacération;{ code : 121202.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Vaisseau intracrânien lacération},
121204.3;1;2;Commotion;3;Vaisseau intracrânien thrombose (occlusion);{ code : 121204.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Vaisseau intracrânien thrombose (occlusion)},
121206.3;1;2;Commotion;3;Vaisseau intracrânien anévrisme traumatique;{ code : 121206.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Vaisseau intracrânien anévrisme traumatique},
121299.3;1;2;Commotion;3;Vaisseau intracrânien SAI utiliser cette description si le vaisseau spécifique n'est pas connu;{ code : 121299.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Vaisseau intracrânien SAI utiliser cette description si le vaisseau spécifique n'est pas connu},
121402.5;1;2;Commotion;5;Artère cérébrale moyenne lacération;{ code : 121402.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Artère cérébrale moyenne lacération},
121404.4;1;2;Commotion;4;Artère cérébrale moyenne thrombose (occlusion);{ code : 121404.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Artère cérébrale moyenne thrombose (occlusion)},
121405.5;1;2;Commotion;5;Artère cérébrale moyenne thrombose (occlusion) bilatérale;{ code : 121405.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Artère cérébrale moyenne thrombose (occlusion) bilatérale},
121406.3;1;2;Commotion;3;Artère cérébrale moyenne anévrisme traumatique;{ code : 121406.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère cérébrale moyenne anévrisme traumatique},
121499.3;1;2;Commotion;3;Artère cérébrale moyenne SAI;{ code : 121499.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère cérébrale moyenne SAI},
121602.4;1;2;Commotion;4;Autre artère (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale) lacération;{ code : 121602.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Autre artère (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale) lacération},
121604.3;1;2;Commotion;3;Autre artère (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale) thrombose (occlusion);{ code : 121604.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Autre artère (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale) thrombose (occlusion)},
121606.3;1;2;Commotion;3;Autre artère (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale) anévrisme traumatique;{ code : 121606.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Autre artère (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale) anévrisme traumatique},
121699.3;1;2;Commotion;3;Autre artère SAI (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale);{ code : 121699.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Autre artère SAI (branche de l'artère cérébrale antérieure, postérieure ou moyenne, ou branche de l'artère basilaire ou vertébrale)},
121802.5;1;2;Commotion;5;Artère cérébrale postérieure lacération;{ code : 121802.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Artère cérébrale postérieure lacération},
121804.3;1;2;Commotion;3;Artère cérébrale postérieure thrombose (occlusion);{ code : 121804.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère cérébrale postérieure thrombose (occlusion)},
121805.4;1;2;Commotion;4;Artère cérébrale postérieure thrombose (occlusion) bilatérale;{ code : 121805.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Artère cérébrale postérieure thrombose (occlusion) bilatérale},
121806.3;1;2;Commotion;3;Artère cérébrale postérieure anévrisme traumatique;{ code : 121806.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère cérébrale postérieure anévrisme traumatique},
121899.3;1;2;Commotion;3;Artère cérébrale postérieure SAI;{ code : 121899.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère cérébrale postérieure SAI},
122002.4;1;2;Commotion;4;Sinus sigmoïde lacération;{ code : 122002.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus sigmoïde lacération},
122003.5;1;2;Commotion;5;Sinus sigmoïde lacération bilatérale;{ code : 122003.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus sigmoïde lacération bilatérale},
122004.5;1;2;Commotion;5;Sinus sigmoïde lacération ouverte (saignement à l'extérieur) ou destruction du segment;{ code : 122004.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus sigmoïde lacération ouverte (saignement à l'extérieur) ou destruction du segment},
122005.6;1;2;Commotion;6;Sinus sigmoïde lacération ouverte (saignement à l'extérieur) ou destruction du segment bilatérale;{ code : 122005.6, position1 : 1, position2 : 2, position34 : Commotion, position8 : 6, description : Sinus sigmoïde lacération ouverte (saignement à l'extérieur) ou destruction du segment bilatérale},
122006.4;1;2;Commotion;4;Sinus sigmoïde thrombose (occlusion);{ code : 122006.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus sigmoïde thrombose (occlusion)},
122007.5;1;2;Commotion;5;Sinus sigmoïde thrombose (occlusion) bilatérale;{ code : 122007.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus sigmoïde thrombose (occlusion) bilatérale},
122099.4;1;2;Commotion;4;Sinus sigmoïde SAI;{ code : 122099.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus sigmoïde SAI},
122202.4;1;2;Commotion;4;Sinus lacération;{ code : 122202.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus lacération},
122204.3;1;2;Commotion;3;Sinus thrombose (occlusion);{ code : 122204.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Sinus thrombose (occlusion)},
122299.3;1;2;Commotion;3;Sinus SAI;{ code : 122299.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Sinus SAI},
122399.3;1;2;Commotion;3;Veine SAI;{ code : 122399.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Veine SAI},
122402.4;1;2;Commotion;4;Sinus longitudinal supérieur (sagittal) lacération;{ code : 122402.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus longitudinal supérieur (sagittal) lacération},
122404.5;1;2;Commotion;5;Sinus longitudinal supérieur (sagittal) lacération ouverte (saignement à l'extérieur) ou destruction du segment;{ code : 122404.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus longitudinal supérieur (sagittal) lacération ouverte (saignement à l'extérieur) ou destruction du segment},
122406.4;1;2;Commotion;4;Sinus longitudinal supérieur (sagittal) thrombose (occlusion);{ code : 122406.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus longitudinal supérieur (sagittal) thrombose (occlusion)},
122407.4;1;2;Commotion;4;Sinus longitudinal supérieur  (sagittal) thrombose (occlusion) moitié antérieure du sinus;{ code : 122407.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus longitudinal supérieur  (sagittal) thrombose (occlusion) moitié antérieure du sinus},
122408.5;1;2;Commotion;5;Sinus longitudinal supérieur (sagittal) thrombose (occlusion) moitié postérieure du sinus;{ code : 122408.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus longitudinal supérieur (sagittal) thrombose (occlusion) moitié postérieure du sinus},
122499.3;1;2;Commotion;3;Sinus longitudinal supérieur (sagittal) SAI;{ code : 122499.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Sinus longitudinal supérieur (sagittal) SAI},
122499.4;1;2;Commotion;4;Sinus longitudinal supérieur (sagittal) SAI;{ code : 122499.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus longitudinal supérieur (sagittal) SAI},
122502.4;1;2;Commotion;4;Grosse veine SAI [incluant les veines de Galien, Labbé, Trolard, Rosenthal ou cérébrales internes] lacération;{ code : 122502.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Grosse veine SAI [incluant les veines de Galien, Labbé, Trolard, Rosenthal ou cérébrales internes] lacération},
122504.3;1;2;Commotion;3;Grosse veine SAI [incluant les veines de Galien, Labbé, Trolard, Rosenthal ou cérébrales internes] thrombose (occlusion);{ code : 122504.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Grosse veine SAI [incluant les veines de Galien, Labbé, Trolard, Rosenthal ou cérébrales internes] thrombose (occlusion)},
122599.3;1;2;Commotion;3;Grosse veine SAI [incluant les veines de Galien, Labbé, Trolard, Rosenthal ou cérébrales internes];{ code : 122599.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Grosse veine SAI [incluant les veines de Galien, Labbé, Trolard, Rosenthal ou cérébrales internes]},
122602.4;1;2;Commotion;4;Sinus transverse lacération;{ code : 122602.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus transverse lacération},
122603.5;1;2;Commotion;5;Sinus transverse lacération bilatérale;{ code : 122603.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus transverse lacération bilatérale},
122604.5;1;2;Commotion;5;Sinus transverse lacération ouverte (saignement à l'extérieur) ou destruction du segment;{ code : 122604.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus transverse lacération ouverte (saignement à l'extérieur) ou destruction du segment},
122605.6;1;2;Commotion;6;Sinus transverse lacération ouverte (saignement à l'extérieur) ou destruction du segment bilatérale;{ code : 122605.6, position1 : 1, position2 : 2, position34 : Commotion, position8 : 6, description : Sinus transverse lacération ouverte (saignement à l'extérieur) ou destruction du segment bilatérale},
122606.4;1;2;Commotion;4;Sinus transverse thrombose (occlusion);{ code : 122606.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus transverse thrombose (occlusion)},
122607.6;1;2;Commotion;6;Sinus transverse lacération ouverte (saignement à l'extérieur ) ou destruction du segment torcular;{ code : 122607.6, position1 : 1, position2 : 2, position34 : Commotion, position8 : 6, description : Sinus transverse lacération ouverte (saignement à l'extérieur ) ou destruction du segment torcular},
122608.5;1;2;Commotion;5;Sinus transverse thrombose (occlusion) bilatérale;{ code : 122608.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Sinus transverse thrombose (occlusion) bilatérale},
122699.3;1;2;Commotion;3;Sinus transverse SAI;{ code : 122699.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Sinus transverse SAI},
122699.4;1;2;Commotion;4;Sinus transverse  SAI;{ code : 122699.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Sinus transverse  SAI},
122702.4;1;2;Commotion;4;Veine [toute veine autre qu'une grosse veine] lacération;{ code : 122702.4, position1 : 1, position2 : 2, position34 : Commotion, position8 : 4, description : Veine [toute veine autre qu'une grosse veine] lacération},
122704.3;1;2;Commotion;3;Veine [toute veine autre qu'une grosse veine] thrombose (occlusion);{ code : 122704.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Veine [toute veine autre qu'une grosse veine] thrombose (occlusion)},
122799.3;1;2;Commotion;3;Veine SAI [toute veine autre qu'une grosse veine];{ code : 122799.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Veine SAI [toute veine autre qu'une grosse veine]},
122802.5;1;2;Commotion;5;Artère vertébrale lacération;{ code : 122802.5, position1 : 1, position2 : 2, position34 : Commotion, position8 : 5, description : Artère vertébrale lacération},
122803.6;1;2;Commotion;6;Artère vertébrale lacération bilatérale;{ code : 122803.6, position1 : 1, position2 : 2, position34 : Commotion, position8 : 6, description : Artère vertébrale lacération bilatérale},
122804.3;1;2;Commotion;3;Artère vertébrale thrombose (occlusion);{ code : 122804.3, position1 : 1, position2 : 2, position34 : Commotion, position8 : 3, description : Artère vertébrale thrombose (occlusion)},
